,index,label_Chinese,label_English,function_name,function_Chinese,function_English,group_label_Chinese,group_label_English,machine_obj_Chinese,machine_obj_English
0,0.0,系统启动,SYSTEM START0UP,cb_gp_powerup_function,功能: 控制柜启动,FUNCTION: CABINET AT START0UP,电控柜公共组件,COMMON CABINET GROUPS,主机电柜,cb_main_maCHine
1,1.0,警告：储存器内的数据被删除,WARNING: MEMORIZED DATA CANCELLED,cb_gp_powerup_function,功能: 控制柜启动,FUNCTION: CABINET AT START0UP,电控柜公共组件,COMMON CABINET GROUPS,主机电柜,cb_main_maCHine
2,2.0,与YB511电控柜通讯故障,DOWNSTREAM COMMUNICATION FAULT 0 YB511,cb_main_support_function,控制柜辅助功能,CABINET SUPPORT FUNCTION,电控柜主组件,MAIN CABINET GROUP,主机电柜,cb_main_maCHine
3,3.0,故障：看门狗监视器Ｋ３,BREAKDOWN: WATCHDOW MONITOR K3,cb_main_support_function,控制柜辅助功能,CABINET SUPPORT FUNCTION,电控柜主组件,MAIN CABINET GROUP,主机电柜,cb_main_maCHine
4,4.0,防护罩继电器  ２Ｋ２０失效,RELAY FAULT 2K20  GUARD,cb_gp_xx_sg_safety_guard_line_function,0,0,电控柜主组件,MAIN CABINET GROUP,主机电柜,cb_main_maCHine
5,5.0,铝箔纸装载机于自动方式,FOIL REEL LOADER IN AUTOMATIC MODE,cs_motor_management_function,功能: 铝箔纸装载机电机,FUNCTION: FOIL REEL LOADER MOTOR,电机部件,MOTORIZATION GROUP,铝箔纸装载,cs_main_machine
6,6.0,铝箔纸装载机于手动方式,FOIL REEL LOADER IN MANUAL MODE,cs_motor_management_function,功能: 铝箔纸装载机电机,FUNCTION: FOIL REEL LOADER MOTOR,电机部件,MOTORIZATION GROUP,铝箔纸装载,cs_main_machine
7,7.0,伺服停机,SERVICE STOP,cs_motor_service_stop_function,功能: 伺服停机,FUNCTION: SERVICE STOP,电机部件,MOTORIZATION GROUP,铝箔纸装载,cs_main_machine
8,8.0,铝箔纸凸轮轴循环终点无,FOIL CAM AXIS: NO END0OF0CYCLE,xx_foil_automatic_splice_function,功能: 铝箔纸自动更换,FUNCTION: AUTOMATIC FOIL CHANGE,铝箔纸组件,FOIL GROUP,主机,xx_main_machine
9,9.0,铝箔纸卷锁定装置不能开启,NO UNLOCK FOR FOIL REEL DRUM,xx_foil_automatic_splice_function,功能: 铝箔纸自动更换,FUNCTION: AUTOMATIC FOIL CHANGE,铝箔纸组件,FOIL GROUP,主机,xx_main_machine
