序号,Address,lable_CHinese,lable_English,数据类型,value
1,0,手动排空的有效盒模,MANUALLY EMPTIED VALID POCKETS,Dword,0
2,1,不进行生产时之机器转数,MACHINE CYCLES RUNNING EMPTY,Dword,0
3,2,生产数据统计免除时之机器转数,MACHINE CYCLES WITH PROD. DATA DISABLED,Dword,0
4,3,烟包实际产量,REAL PACKET PRODUCTION,Dword,0
5,4,产品被剔除,REJECTED PRODUCTION,Dword,0
6,10,下梁剔除的烟包,PACKETS REJECTED LOWER BEAM,Dword,0
7,11,上梁剔除的烟包,PACKETS REJECTED UPPER BEAM,Dword,0
8,12,第三轮烟包已剔除,PACKETS REJECTED AT 3RD WHEEL,Dword,0
9,20,已使用盒片叠数,NUMBER OF BLANK STACKS USED,Dword,0
10,21,已使用之铝箔纸卷数,NUMBER OF FOIL REELS USED,Dword,0
11,22,已使用之内框纸卷数,NUMBER OF INNER0FRAME REELS USED,Dword,0
12,40,盒片空白而剔除,REJECTS DUE TO BLANKS WITHOUT PRINT,Dword,0
13,41,剔除：第二鼓轮上无盒片／不齐,REJECTION: NO BLANK/DISALIGN ON 2ND DRUM,Dword,0
14,42,剔除：第三鼓轮上第一前盒片耳,REJECTS: 1ST FRONT BLANK0EAR DRUM3,Dword,0
15,43,剔除：第三鼓轮上第二前盒片耳,REJECTS: 2ND FRONT BLANK0EAR DRUM3,Dword,0
16,44,剔除：第三鼓轮上第一后盒片耳,REJECTS: 1ST REAR BLANK0EAR 0 DRUM3,Dword,0
17,45,剔除：第三鼓轮上第二后盒片耳,REJECTS: 2ND REAR BLANK0EAR 0 DRUM3,Dword,0
18,46,第三鼓轮皮带上缺盒片产生的剔除,REJECTS FOR BLANK ABS. ON 3RD DRUM BELT,Dword,0
19,47,裹包时间过长而剔除,REJECTS DUE TO EXTENDED TIME FOR WRAP,Dword,0
20,48,涂胶器接合超出相位的剔除,REJECTS FOR GLUER ENGAGE OUT OF PHASE,Dword,0
21,49,盒片涂胶不全而剔除,REJECTS DUE TO INCOMPLETELY GLUED BLANKS,Dword,0
22,50,高位出口电机复位引起的剔除次数,REJECTIONS FROM MOTOR HOMING 0 HIGH EXIT,Dword,0
23,51,出口阻塞而剔除,REJECTIONS DUE TO EXIT JAM,Dword,0
24,52,下部干燥通道剔除效用功能,EXTRA REJECTS AFTER WRAP WHEEL EMPTYING,Dword,0
25,53,堵塞产生的下皮带剔除／马达故障,LOWER BELT REJECTS DUE TO JAM/MOTOR FAIL,Dword,0
26,54,未要求的下梁烟包剔除,LOWER BEAM PACKET REJECTS NOT REQUESTED,Dword,0
27,55,堵塞产生的上皮带剔除／马达故障,UPPER BELT REJECTS DUE TO JAM/MOTOR FAIL,Dword,0
28,62,手动剔除：偏移的铝箔纸,MANUAL REJECTIONS 0 DISALIGNED FOIL,Dword,0
29,63,推进器脱离而剔除,REJECTIONS DUE TO PUSHER RELEASE,Dword,0
30,64,鼓轮上无存在内框纸时剔除物数量,NO.REJECTS DUE TO NO INNER0FRAME ON DRUM,Dword,0
31,65,内框纸上存在带子的剔除,REJ. FOR TAPE PRESENCE ON INNERFRAME,Dword,0
32,66,第二轮缺铝箔纸而产生的剔除,REJECTS DUE TO 2ND WHEEL FOIL ABSENCE,Dword,0
33,67,第二轮铝箔纸不齐而产生的剔除,REJECTS DUE TO 2ND WHEEL FOIL MISALIGN.,Dword,0
34,68,第三轮入口烟包阻塞而剔除,REJECT DUE TO 3RD WHEEL PACKET ENTRY JAM,Dword,0
35,69,第三轮半环阻塞而剔除,REJECTS DUE TO 3RD WHEEL HALF0RING JAM,Dword,0
36,70,第三轮缺内框纸而剔除,REJECT DUE TO 3RD WHEEL IN0FRAME ABSENCE,Dword,0
37,76,第五轮缺盒片而剔除,REJECTS DUE TO NO 5TH WHEEL BLANK,Dword,0
38,77,第五轮前缺盒片的剔除,BLANK REJECTS ABSENT FRONT IN 5TH WHEEL,Dword,0
39,78,第五轮入口烟包阻塞而剔除,REJECTS: PACKET JAM AT 5TH WHEEL ENTRY,Dword,0
40,79,第五轮缺铝箔纸而剔除,REJECTS: NO FOIL ON 5TH WHEEL,Dword,0
41,80,第五轮折叠器打开产生的剔除,REJECTS FOR OPENING 5TH WHEEL FOLDERS,Dword,0
42,81,第五轮缺内框纸产生的剔除,REJECT FOR ABSENCE INNER0FRAME 5TH WHEEL,Dword,0
