 序号,Address2,type,value,lable_CHinese,lable_English,funCTion_name,funCTion_label_p,funCTion_label_s,group_obj,group_label_p,group_label_s,maCHine_obj,maCHine_label_p
1,0,Bool,FALSE,系统启动,SYSTEM START0UP,cb_gp_powerup_function,功能: 控制柜启动,FUNCTION: CABINET AT START0UP,cb_general_purpose_group,电控柜公共组件,COMMON CABINET GROUPS,cb_main_maCHine,主机电柜
2,1,Bool,FALSE,警告：储存器内的数据被删除,WARNING: MEMORIZED DATA CANCELLED,cb_gp_powerup_function,功能: 控制柜启动,FUNCTION: CABINET AT START0UP,cb_general_purpose_group,电控柜公共组件,COMMON CABINET GROUPS,cb_main_maCHine,主机电柜
3,2,Bool,FALSE,与YB511电控柜通讯故障,DOWNSTREAM COMMUNICATION FAULT 0 YB511,cb_main_support_function,控制柜辅助功能,CABINET SUPPORT FUNCTION,cb_main_group,电控柜主组件,MAIN CABINET GROUP,cb_main_maCHine,主机电柜
4,3,Bool,FALSE,故障：看门狗监视器Ｋ３,BREAKDOWN: WATCHDOW MONITOR K3,cb_main_support_function,控制柜辅助功能,CABINET SUPPORT FUNCTION,cb_main_group,电控柜主组件,MAIN CABINET GROUP,cb_main_maCHine,主机电柜
5,4,Bool,FALSE,防护罩继电器  ２Ｋ２０失效,RELAY FAULT 2K20  GUARD,cb_gp_xx_sg_safety_guard_line_function,0,0,cb_general_purpose_group,电控柜主组件,MAIN CABINET GROUP,cb_main_maCHine,主机电柜
6,32,Bool,FALSE,铝箔纸装载机于自动方式,FOIL REEL LOADER IN AUTOMATIC MODE,cs_motor_management_function,功能: 铝箔纸装载机电机,FUNCTION: FOIL REEL LOADER MOTOR,cs_motor_group,电机部件,MOTORIZATION GROUP,cs_main_machine,铝箔纸装载
7,33,Bool,FALSE,铝箔纸装载机于手动方式,FOIL REEL LOADER IN MANUAL MODE,cs_motor_management_function,功能: 铝箔纸装载机电机,FUNCTION: FOIL REEL LOADER MOTOR,cs_motor_group,电机部件,MOTORIZATION GROUP,cs_main_machine,铝箔纸装载
8,34,Bool,FALSE,伺服停机,SERVICE STOP,cs_motor_service_stop_function,功能: 伺服停机,FUNCTION: SERVICE STOP,cs_motor_group,电机部件,MOTORIZATION GROUP,cs_main_machine,铝箔纸装载
9,48,Bool,FALSE,铝箔纸凸轮轴循环终点无,FOIL CAM AXIS: NO END0OF0CYCLE,xx_foil_automatic_splice_function,功能: 铝箔纸自动更换,FUNCTION: AUTOMATIC FOIL CHANGE,xx_foil_group,铝箔纸组件,FOIL GROUP,xx_main_machine,主机
10,49,Bool,FALSE,铝箔纸卷锁定装置不能开启,NO UNLOCK FOR FOIL REEL DRUM,xx_foil_automatic_splice_function,功能: 铝箔纸自动更换,FUNCTION: AUTOMATIC FOIL CHANGE,xx_foil_group,铝箔纸组件,FOIL GROUP,xx_main_machine,主机
11,50,Bool,FALSE,铝箔纸凸轮轴循环中点无,FOIL CAM AXIS: NO MID0CYCLE,xx_foil_automatic_splice_function,功能: 铝箔纸自动更换,FUNCTION: AUTOMATIC FOIL CHANGE,xx_foil_group,铝箔纸组件,FOIL GROUP,xx_main_machine,主机
12,51,Bool,FALSE,铝箔纸鼓轮未转动,FOIL DRUM NOT TURNING,xx_foil_automatic_splice_function,功能: 铝箔纸自动更换,FUNCTION: AUTOMATIC FOIL CHANGE,xx_foil_group,铝箔纸组件,FOIL GROUP,xx_main_machine,主机
13,52,Bool,FALSE,铝箔纸预松卷电机扭钜输出过载,OVERLOAD OF MOTOR TORQUE OUTPUT OF FOIL,xx_foil_preunwinding_function,功能: 铝箔纸预展开,FUNCTION: FOIL PRE0UNWINDING,xx_foil_group,铝箔纸组件,FOIL GROUP,xx_main_machine,主机
18,71,Bool,FALSE,上槽重复小包／排除堵塞,UPPER BEAM RETREAT PACKET/EXTRACTION JAM,xx_beam_upper_packet_pos_function,上槽小包控制功能,UPPER BEAM PACKET CONTROL FUNCTION,xx_beams_group,梁架组件,CONVEYOR GROUP,xx_main_machine,主机
19,72,Bool,FALSE,上槽入口处的小包检测无效,UPPER BEAM ENTRANCE PACK CONTR. INEFF.,xx_beam_upper_packet_pos_function,上槽小包控制功能,UPPER BEAM PACKET CONTROL FUNCTION,xx_beams_group,梁架组件,CONVEYOR GROUP,xx_main_machine,主机
20,77,Bool,FALSE,商标纸无印刷,NO PRINT ON BLANKS,xx_blank_1drum_print_check_function,功能: 盒片印刷检测,FUNCTION: BLANK PRINT CHECK,xx_blank_group,盒片部件,BLANK GROUP,xx_main_machine,主机
