,index,label_Chinese,label_English
0,0,手动排空的有效盒模,MANUALLY EMPTIED VALID POCKETS
1,1,不进行生产时之机器转数,MACHINE CYCLES RUNNING EMPTY
2,2,生产数据统计免除时之机器转数,MACHINE CYCLES WITH PROD. DATA DISABLED
3,3,烟包实际产量,REAL PACKET PRODUCTION
4,4,产品被剔除,REJECTED PRODUCTION
5,5,下梁剔除的烟包,PACKETS REJECTED LOWER BEAM
6,6,上梁剔除的烟包,PACKETS REJECTED UPPER BEAM
7,7,第三轮烟包已剔除,PACKETS REJECTED AT 3RD WHEEL
8,8,已使用盒片叠数,NUMBER OF BLANK STACKS USED
9,9,已使用之铝箔纸卷数,NUMBER OF FOIL REELS USED
10,10,已使用之内框纸卷数,NUMBER OF INNER0FRAME REELS USED
11,11,盒片空白而剔除,REJECTS DUE TO BLANKS WITHOUT PRINT
12,12,剔除：第二鼓轮上无盒片／不齐,REJECTION: NO BLANK/DISALIGN ON 2ND DRUM
13,13,剔除：第三鼓轮上第一前盒片耳,REJECTS: 1ST FRONT BLANK0EAR DRUM3
14,14,剔除：第三鼓轮上第二前盒片耳,REJECTS: 2ND FRONT BLANK0EAR DRUM3
15,15,剔除：第三鼓轮上第一后盒片耳,REJECTS: 1ST REAR BLANK0EAR 0 DRUM3
16,16,剔除：第三鼓轮上第二后盒片耳,REJECTS: 2ND REAR BLANK0EAR 0 DRUM3
17,17,第三鼓轮皮带上缺盒片产生的剔除,REJECTS FOR BLANK ABS. ON 3RD DRUM BELT
18,18,裹包时间过长而剔除,REJECTS DUE TO EXTENDED TIME FOR WRAP
19,19,涂胶器接合超出相位的剔除,REJECTS FOR GLUER ENGAGE OUT OF PHASE
20,20,盒片涂胶不全而剔除,REJECTS DUE TO INCOMPLETELY GLUED BLANKS
21,21,高位出口电机复位引起的剔除次数,REJECTIONS FROM MOTOR HOMING 0 HIGH EXIT
22,22,出口阻塞而剔除,REJECTIONS DUE TO EXIT JAM
23,23,下部干燥通道剔除效用功能,EXTRA REJECTS AFTER WRAP WHEEL EMPTYING
24,24,堵塞产生的下皮带剔除／马达故障,LOWER BELT REJECTS DUE TO JAM/MOTOR FAIL
25,25,未要求的下梁烟包剔除,LOWER BEAM PACKET REJECTS NOT REQUESTED
26,26,堵塞产生的上皮带剔除／马达故障,UPPER BELT REJECTS DUE TO JAM/MOTOR FAIL
27,27,手动剔除：偏移的铝箔纸,MANUAL REJECTIONS 0 DISALIGNED FOIL
28,28,推进器脱离而剔除,REJECTIONS DUE TO PUSHER RELEASE
29,29,鼓轮上无存在内框纸时剔除物数量,NO.REJECTS DUE TO NO INNER0FRAME ON DRUM
30,30,内框纸上存在带子的剔除,REJ. FOR TAPE PRESENCE ON INNERFRAME
31,31,第二轮缺铝箔纸而产生的剔除,REJECTS DUE TO 2ND WHEEL FOIL ABSENCE
32,32,第二轮铝箔纸不齐而产生的剔除,REJECTS DUE TO 2ND WHEEL FOIL MISALIGN.
33,33,第三轮入口烟包阻塞而剔除,REJECT DUE TO 3RD WHEEL PACKET ENTRY JAM
34,34,第三轮半环阻塞而剔除,REJECTS DUE TO 3RD WHEEL HALF0RING JAM
35,35,第三轮缺内框纸而剔除,REJECT DUE TO 3RD WHEEL IN0FRAME ABSENCE
36,36,第五轮缺盒片而剔除,REJECTS DUE TO NO 5TH WHEEL BLANK
37,37,第五轮前缺盒片的剔除,BLANK REJECTS ABSENT FRONT IN 5TH WHEEL
38,38,第五轮入口烟包阻塞而剔除,REJECTS: PACKET JAM AT 5TH WHEEL ENTRY
39,39,第五轮缺铝箔纸而剔除,REJECTS: NO FOIL ON 5TH WHEEL
40,40,第五轮折叠器打开产生的剔除,REJECTS FOR OPENING 5TH WHEEL FOLDERS
41,41,第五轮缺内框纸产生的剔除,REJECT FOR ABSENCE INNER0FRAME 5TH WHEEL
