,week,shift,production_id,production
0,1.0,1.0,0.0,11.0
1,1.0,1.0,1.0,12.0
2,1.0,1.0,2.0,90.0
3,1.0,1.0,3.0,61.0
4,1.0,1.0,4.0,48.0
5,1.0,1.0,5.0,10.0
6,1.0,1.0,6.0,96.0
7,1.0,1.0,7.0,93.0
8,1.0,1.0,8.0,25.0
9,1.0,1.0,9.0,49.0
10,1.0,1.0,10.0,69.0
11,1.0,1.0,11.0,94.0
12,1.0,1.0,12.0,8.0
13,1.0,1.0,13.0,100.0
14,1.0,1.0,14.0,97.0
15,1.0,1.0,15.0,3.0
16,1.0,1.0,16.0,23.0
17,1.0,1.0,17.0,96.0
18,1.0,1.0,18.0,39.0
19,1.0,1.0,19.0,60.0
20,1.0,1.0,20.0,50.0
21,1.0,1.0,21.0,63.0
22,1.0,1.0,22.0,84.0
23,1.0,1.0,23.0,89.0
24,1.0,1.0,24.0,16.0
25,1.0,1.0,25.0,81.0
26,1.0,1.0,26.0,75.0
27,1.0,1.0,27.0,32.0
28,1.0,1.0,28.0,29.0
29,1.0,1.0,29.0,53.0
30,1.0,1.0,30.0,44.0
31,1.0,1.0,31.0,3.0
32,1.0,1.0,32.0,95.0
33,1.0,1.0,33.0,10.0
34,1.0,1.0,34.0,25.0
35,1.0,1.0,35.0,87.0
36,1.0,1.0,36.0,29.0
37,1.0,1.0,37.0,9.0
38,1.0,1.0,38.0,60.0
39,1.0,1.0,39.0,43.0
40,1.0,1.0,40.0,40.0
41,1.0,1.0,41.0,65.0
42,1.0,2.0,0.0,49.0
43,1.0,2.0,1.0,43.0
44,1.0,2.0,2.0,82.0
45,1.0,2.0,3.0,28.0
46,1.0,2.0,4.0,55.0
47,1.0,2.0,5.0,38.0
48,1.0,2.0,6.0,95.0
49,1.0,2.0,7.0,25.0
50,1.0,2.0,8.0,19.0
51,1.0,2.0,9.0,0.0
52,1.0,2.0,10.0,6.0
53,1.0,2.0,11.0,84.0
54,1.0,2.0,12.0,26.0
55,1.0,2.0,13.0,65.0
56,1.0,2.0,14.0,2.0
57,1.0,2.0,15.0,49.0
58,1.0,2.0,16.0,58.0
59,1.0,2.0,17.0,81.0
60,1.0,2.0,18.0,24.0
61,1.0,2.0,19.0,92.0
62,1.0,2.0,20.0,88.0
63,1.0,2.0,21.0,70.0
64,1.0,2.0,22.0,41.0
65,1.0,2.0,23.0,67.0
66,1.0,2.0,24.0,28.0
67,1.0,2.0,25.0,60.0
68,1.0,2.0,26.0,51.0
69,1.0,2.0,27.0,55.0
70,1.0,2.0,28.0,58.0
71,1.0,2.0,29.0,13.0
72,1.0,2.0,30.0,30.0
73,1.0,2.0,31.0,34.0
74,1.0,2.0,32.0,79.0
75,1.0,2.0,33.0,26.0
76,1.0,2.0,34.0,75.0
77,1.0,2.0,35.0,43.0
78,1.0,2.0,36.0,69.0
79,1.0,2.0,37.0,49.0
80,1.0,2.0,38.0,6.0
81,1.0,2.0,39.0,28.0
82,1.0,2.0,40.0,63.0
83,1.0,2.0,41.0,29.0
84,1.0,3.0,0.0,97.0
85,1.0,3.0,1.0,58.0
86,1.0,3.0,2.0,45.0
87,1.0,3.0,3.0,6.0
88,1.0,3.0,4.0,86.0
89,1.0,3.0,5.0,45.0
90,1.0,3.0,6.0,54.0
91,1.0,3.0,7.0,53.0
92,1.0,3.0,8.0,19.0
93,1.0,3.0,9.0,49.0
94,1.0,3.0,10.0,84.0
95,1.0,3.0,11.0,31.0
96,1.0,3.0,12.0,40.0
97,1.0,3.0,13.0,34.0
98,1.0,3.0,14.0,53.0
99,1.0,3.0,15.0,45.0
100,1.0,3.0,16.0,16.0
101,1.0,3.0,17.0,85.0
102,1.0,3.0,18.0,52.0
103,1.0,3.0,19.0,20.0
104,1.0,3.0,20.0,95.0
105,1.0,3.0,21.0,100.0
106,1.0,3.0,22.0,66.0
107,1.0,3.0,23.0,59.0
108,1.0,3.0,24.0,12.0
109,1.0,3.0,25.0,8.0
110,1.0,3.0,26.0,23.0
111,1.0,3.0,27.0,5.0
112,1.0,3.0,28.0,74.0
113,1.0,3.0,29.0,10.0
114,1.0,3.0,30.0,56.0
115,1.0,3.0,31.0,97.0
116,1.0,3.0,32.0,69.0
117,1.0,3.0,33.0,4.0
118,1.0,3.0,34.0,53.0
119,1.0,3.0,35.0,100.0
120,1.0,3.0,36.0,26.0
121,1.0,3.0,37.0,5.0
122,1.0,3.0,38.0,70.0
123,1.0,3.0,39.0,82.0
124,1.0,3.0,40.0,48.0
125,1.0,3.0,41.0,56.0
126,2.0,1.0,0.0,34.0
127,2.0,1.0,1.0,74.0
128,2.0,1.0,2.0,36.0
129,2.0,1.0,3.0,86.0
130,2.0,1.0,4.0,97.0
131,2.0,1.0,5.0,18.0
132,2.0,1.0,6.0,20.0
133,2.0,1.0,7.0,50.0
134,2.0,1.0,8.0,82.0
135,2.0,1.0,9.0,82.0
136,2.0,1.0,10.0,21.0
137,2.0,1.0,11.0,21.0
138,2.0,1.0,12.0,46.0
139,2.0,1.0,13.0,100.0
140,2.0,1.0,14.0,67.0
141,2.0,1.0,15.0,12.0
142,2.0,1.0,16.0,24.0
143,2.0,1.0,17.0,61.0
144,2.0,1.0,18.0,37.0
145,2.0,1.0,19.0,11.0
146,2.0,1.0,20.0,60.0
147,2.0,1.0,21.0,11.0
148,2.0,1.0,22.0,50.0
149,2.0,1.0,23.0,67.0
150,2.0,1.0,24.0,25.0
151,2.0,1.0,25.0,55.0
152,2.0,1.0,26.0,24.0
153,2.0,1.0,27.0,35.0
154,2.0,1.0,28.0,54.0
155,2.0,1.0,29.0,63.0
156,2.0,1.0,30.0,4.0
157,2.0,1.0,31.0,94.0
158,2.0,1.0,32.0,87.0
159,2.0,1.0,33.0,95.0
160,2.0,1.0,34.0,83.0
161,2.0,1.0,35.0,78.0
162,2.0,1.0,36.0,88.0
163,2.0,1.0,37.0,76.0
164,2.0,1.0,38.0,32.0
165,2.0,1.0,39.0,38.0
166,2.0,1.0,40.0,43.0
167,2.0,1.0,41.0,69.0
168,2.0,2.0,0.0,0.0
169,2.0,2.0,1.0,89.0
170,2.0,2.0,2.0,1.0
171,2.0,2.0,3.0,22.0
172,2.0,2.0,4.0,63.0
173,2.0,2.0,5.0,62.0
174,2.0,2.0,6.0,56.0
175,2.0,2.0,7.0,27.0
176,2.0,2.0,8.0,92.0
177,2.0,2.0,9.0,85.0
178,2.0,2.0,10.0,53.0
179,2.0,2.0,11.0,21.0
180,2.0,2.0,12.0,58.0
181,2.0,2.0,13.0,33.0
182,2.0,2.0,14.0,49.0
