,week,shift,warning_id,occur
0,1.0,1.0,0.0,1.0
1,1.0,1.0,1.0,1.0
2,1.0,1.0,2.0,0.0
3,1.0,1.0,3.0,0.0
4,1.0,1.0,4.0,0.0
5,1.0,1.0,5.0,0.0
6,1.0,1.0,6.0,1.0
7,1.0,1.0,7.0,1.0
8,1.0,1.0,8.0,0.0
9,1.0,1.0,9.0,1.0
10,1.0,1.0,10.0,0.0
11,1.0,1.0,11.0,0.0
12,1.0,1.0,12.0,0.0
13,1.0,1.0,13.0,1.0
14,1.0,1.0,14.0,0.0
15,1.0,1.0,15.0,1.0
16,1.0,1.0,16.0,0.0
17,1.0,1.0,17.0,0.0
18,1.0,1.0,18.0,1.0
19,1.0,1.0,19.0,0.0
20,1.0,1.0,20.0,1.0
21,1.0,1.0,21.0,1.0
22,1.0,1.0,22.0,0.0
23,1.0,1.0,23.0,1.0
24,1.0,1.0,24.0,0.0
25,1.0,1.0,25.0,1.0
26,1.0,1.0,26.0,0.0
27,1.0,1.0,27.0,0.0
28,1.0,1.0,28.0,1.0
29,1.0,1.0,29.0,0.0
30,1.0,1.0,30.0,1.0
31,1.0,1.0,31.0,1.0
32,1.0,1.0,32.0,1.0
33,1.0,1.0,33.0,1.0
34,1.0,1.0,34.0,0.0
35,1.0,1.0,35.0,1.0
36,1.0,1.0,36.0,0.0
37,1.0,2.0,0.0,1.0
38,1.0,2.0,1.0,1.0
39,1.0,2.0,2.0,1.0
40,1.0,2.0,3.0,0.0
41,1.0,2.0,4.0,0.0
42,1.0,2.0,5.0,1.0
43,1.0,2.0,6.0,0.0
44,1.0,2.0,7.0,1.0
45,1.0,2.0,8.0,0.0
46,1.0,2.0,9.0,0.0
47,1.0,2.0,10.0,0.0
48,1.0,2.0,11.0,0.0
49,1.0,2.0,12.0,1.0
50,1.0,2.0,13.0,1.0
51,1.0,2.0,14.0,1.0
52,1.0,2.0,15.0,0.0
53,1.0,2.0,16.0,1.0
54,1.0,2.0,17.0,0.0
55,1.0,2.0,18.0,1.0
56,1.0,2.0,19.0,1.0
57,1.0,2.0,20.0,0.0
58,1.0,2.0,21.0,1.0
59,1.0,2.0,22.0,1.0
60,1.0,2.0,23.0,0.0
61,1.0,2.0,24.0,1.0
62,1.0,2.0,25.0,1.0
63,1.0,2.0,26.0,1.0
64,1.0,2.0,27.0,0.0
65,1.0,2.0,28.0,0.0
66,1.0,2.0,29.0,0.0
67,1.0,2.0,30.0,1.0
68,1.0,2.0,31.0,1.0
69,1.0,2.0,32.0,0.0
70,1.0,2.0,33.0,1.0
71,1.0,2.0,34.0,1.0
72,1.0,2.0,35.0,1.0
73,1.0,2.0,36.0,1.0
74,1.0,3.0,0.0,1.0
75,1.0,3.0,1.0,0.0
76,1.0,3.0,2.0,1.0
77,1.0,3.0,3.0,0.0
78,1.0,3.0,4.0,0.0
79,1.0,3.0,5.0,1.0
80,1.0,3.0,6.0,1.0
81,1.0,3.0,7.0,1.0
82,1.0,3.0,8.0,0.0
83,1.0,3.0,9.0,0.0
84,1.0,3.0,10.0,0.0
85,1.0,3.0,11.0,0.0
86,1.0,3.0,12.0,1.0
87,1.0,3.0,13.0,0.0
88,1.0,3.0,14.0,1.0
89,1.0,3.0,15.0,1.0
90,1.0,3.0,16.0,1.0
91,1.0,3.0,17.0,0.0
92,1.0,3.0,18.0,0.0
93,1.0,3.0,19.0,0.0
94,1.0,3.0,20.0,1.0
95,1.0,3.0,21.0,1.0
96,1.0,3.0,22.0,1.0
97,1.0,3.0,23.0,1.0
98,1.0,3.0,24.0,0.0
99,1.0,3.0,25.0,1.0
100,1.0,3.0,26.0,1.0
101,1.0,3.0,27.0,1.0
102,1.0,3.0,28.0,0.0
103,1.0,3.0,29.0,1.0
104,1.0,3.0,30.0,1.0
105,1.0,3.0,31.0,0.0
106,1.0,3.0,32.0,1.0
107,1.0,3.0,33.0,0.0
108,1.0,3.0,34.0,1.0
109,1.0,3.0,35.0,1.0
110,1.0,3.0,36.0,0.0
111,2.0,1.0,0.0,1.0
112,2.0,1.0,1.0,1.0
113,2.0,1.0,2.0,1.0
114,2.0,1.0,3.0,1.0
115,2.0,1.0,4.0,0.0
116,2.0,1.0,5.0,0.0
117,2.0,1.0,6.0,0.0
118,2.0,1.0,7.0,0.0
119,2.0,1.0,8.0,0.0
120,2.0,1.0,9.0,0.0
121,2.0,1.0,10.0,0.0
122,2.0,1.0,11.0,1.0
123,2.0,1.0,12.0,0.0
124,2.0,1.0,13.0,1.0
125,2.0,1.0,14.0,1.0
126,2.0,1.0,15.0,1.0
127,2.0,1.0,16.0,0.0
128,2.0,1.0,17.0,1.0
129,2.0,1.0,18.0,1.0
130,2.0,1.0,19.0,0.0
131,2.0,1.0,20.0,0.0
132,2.0,1.0,21.0,0.0
133,2.0,1.0,22.0,0.0
134,2.0,1.0,23.0,0.0
135,2.0,1.0,24.0,1.0
136,2.0,1.0,25.0,1.0
137,2.0,1.0,26.0,0.0
138,2.0,1.0,27.0,0.0
139,2.0,1.0,28.0,0.0
140,2.0,1.0,29.0,0.0
141,2.0,1.0,30.0,0.0
142,2.0,1.0,31.0,1.0
143,2.0,1.0,32.0,0.0
144,2.0,1.0,33.0,1.0
145,2.0,1.0,34.0,1.0
146,2.0,1.0,35.0,1.0
147,2.0,1.0,36.0,1.0
148,2.0,2.0,0.0,0.0
149,2.0,2.0,1.0,1.0
150,2.0,2.0,2.0,0.0
151,2.0,2.0,3.0,0.0
152,2.0,2.0,4.0,1.0
153,2.0,2.0,5.0,0.0
154,2.0,2.0,6.0,1.0
155,2.0,2.0,7.0,0.0
156,2.0,2.0,8.0,1.0
157,2.0,2.0,9.0,0.0
158,2.0,2.0,10.0,0.0
159,2.0,2.0,11.0,1.0
160,2.0,2.0,12.0,1.0
161,2.0,2.0,13.0,0.0
162,2.0,2.0,14.0,0.0
163,2.0,2.0,15.0,1.0
164,2.0,2.0,16.0,1.0
165,2.0,2.0,17.0,1.0
166,2.0,2.0,18.0,1.0
167,2.0,2.0,19.0,0.0
168,2.0,2.0,20.0,0.0
169,2.0,2.0,21.0,0.0
170,2.0,2.0,22.0,0.0
171,2.0,2.0,23.0,0.0
172,2.0,2.0,24.0,0.0
173,2.0,2.0,25.0,0.0
174,2.0,2.0,26.0,0.0
175,2.0,2.0,27.0,1.0
176,2.0,2.0,28.0,1.0
177,2.0,2.0,29.0,1.0
178,2.0,2.0,30.0,1.0
179,2.0,2.0,31.0,1.0
180,2.0,2.0,32.0,0.0
181,2.0,2.0,33.0,0.0
182,2.0,2.0,34.0,0.0
183,2.0,2.0,35.0,0.0
184,2.0,2.0,36.0,0.0
185,2.0,3.0,0.0,1.0
186,2.0,3.0,1.0,0.0
187,2.0,3.0,2.0,1.0
188,2.0,3.0,3.0,0.0
189,2.0,3.0,4.0,1.0
190,2.0,3.0,5.0,1.0
191,2.0,3.0,6.0,0.0
192,2.0,3.0,7.0,1.0
193,2.0,3.0,8.0,1.0
194,2.0,3.0,9.0,1.0
195,2.0,3.0,10.0,0.0
196,2.0,3.0,11.0,0.0
197,2.0,3.0,12.0,0.0
198,2.0,3.0,13.0,0.0
199,2.0,3.0,14.0,1.0
200,2.0,3.0,15.0,1.0
201,2.0,3.0,16.0,0.0
202,2.0,3.0,17.0,1.0
203,2.0,3.0,18.0,1.0
204,2.0,3.0,19.0,0.0
205,2.0,3.0,20.0,1.0
206,2.0,3.0,21.0,0.0
207,2.0,3.0,22.0,0.0
208,2.0,3.0,23.0,1.0
209,2.0,3.0,24.0,0.0
210,2.0,3.0,25.0,1.0
211,2.0,3.0,26.0,0.0
212,2.0,3.0,27.0,0.0
213,2.0,3.0,28.0,0.0
214,2.0,3.0,29.0,0.0
215,2.0,3.0,30.0,0.0
216,2.0,3.0,31.0,0.0
217,2.0,3.0,32.0,0.0
218,2.0,3.0,33.0,1.0
219,2.0,3.0,34.0,1.0
220,2.0,3.0,35.0,1.0
221,2.0,3.0,36.0,0.0
222,3.0,1.0,0.0,1.0
223,3.0,1.0,1.0,1.0
224,3.0,1.0,2.0,1.0
225,3.0,1.0,3.0,0.0
226,3.0,1.0,4.0,0.0
227,3.0,1.0,5.0,0.0
228,3.0,1.0,6.0,0.0
229,3.0,1.0,7.0,0.0
230,3.0,1.0,8.0,1.0
231,3.0,1.0,9.0,1.0
232,3.0,1.0,10.0,1.0
233,3.0,1.0,11.0,0.0
234,3.0,1.0,12.0,1.0
235,3.0,1.0,13.0,1.0
236,3.0,1.0,14.0,1.0
237,3.0,1.0,15.0,1.0
238,3.0,1.0,16.0,0.0
239,3.0,1.0,17.0,1.0
240,3.0,1.0,18.0,0.0
241,3.0,1.0,19.0,1.0
242,3.0,1.0,20.0,1.0
243,3.0,1.0,21.0,0.0
244,3.0,1.0,22.0,0.0
245,3.0,1.0,23.0,0.0
246,3.0,1.0,24.0,1.0
247,3.0,1.0,25.0,0.0
248,3.0,1.0,26.0,1.0
249,3.0,1.0,27.0,0.0
250,3.0,1.0,28.0,1.0
251,3.0,1.0,29.0,0.0
252,3.0,1.0,30.0,1.0
253,3.0,1.0,31.0,0.0
254,3.0,1.0,32.0,0.0
255,3.0,1.0,33.0,1.0
256,3.0,1.0,34.0,0.0
257,3.0,1.0,35.0,0.0
258,3.0,1.0,36.0,1.0
259,3.0,2.0,0.0,0.0
260,3.0,2.0,1.0,1.0
261,3.0,2.0,2.0,1.0
262,3.0,2.0,3.0,1.0
263,3.0,2.0,4.0,0.0
264,3.0,2.0,5.0,0.0
265,3.0,2.0,6.0,0.0
266,3.0,2.0,7.0,1.0
267,3.0,2.0,8.0,0.0
268,3.0,2.0,9.0,0.0
269,3.0,2.0,10.0,0.0
270,3.0,2.0,11.0,1.0
271,3.0,2.0,12.0,1.0
272,3.0,2.0,13.0,1.0
273,3.0,2.0,14.0,0.0
274,3.0,2.0,15.0,0.0
275,3.0,2.0,16.0,1.0
276,3.0,2.0,17.0,0.0
277,3.0,2.0,18.0,0.0
278,3.0,2.0,19.0,0.0
279,3.0,2.0,20.0,0.0
280,3.0,2.0,21.0,1.0
281,3.0,2.0,22.0,0.0
282,3.0,2.0,23.0,1.0
283,3.0,2.0,24.0,1.0
284,3.0,2.0,25.0,1.0
285,3.0,2.0,26.0,0.0
286,3.0,2.0,27.0,0.0
287,3.0,2.0,28.0,0.0
288,3.0,2.0,29.0,0.0
289,3.0,2.0,30.0,1.0
290,3.0,2.0,31.0,1.0
291,3.0,2.0,32.0,1.0
292,3.0,2.0,33.0,0.0
293,3.0,2.0,34.0,0.0
294,3.0,2.0,35.0,1.0
295,3.0,2.0,36.0,1.0
296,3.0,3.0,0.0,0.0
297,3.0,3.0,1.0,0.0
298,3.0,3.0,2.0,0.0
299,3.0,3.0,3.0,0.0
300,3.0,3.0,4.0,0.0
301,3.0,3.0,5.0,1.0
302,3.0,3.0,6.0,0.0
303,3.0,3.0,7.0,0.0
304,3.0,3.0,8.0,0.0
305,3.0,3.0,9.0,0.0
306,3.0,3.0,10.0,0.0
307,3.0,3.0,11.0,0.0
308,3.0,3.0,12.0,1.0
309,3.0,3.0,13.0,1.0
310,3.0,3.0,14.0,1.0
311,3.0,3.0,15.0,0.0
312,3.0,3.0,16.0,0.0
313,3.0,3.0,17.0,1.0
314,3.0,3.0,18.0,1.0
315,3.0,3.0,19.0,1.0
316,3.0,3.0,20.0,1.0
317,3.0,3.0,21.0,1.0
318,3.0,3.0,22.0,0.0
319,3.0,3.0,23.0,1.0
320,3.0,3.0,24.0,0.0
321,3.0,3.0,25.0,1.0
322,3.0,3.0,26.0,0.0
323,3.0,3.0,27.0,1.0
324,3.0,3.0,28.0,1.0
325,3.0,3.0,29.0,1.0
326,3.0,3.0,30.0,1.0
327,3.0,3.0,31.0,0.0
328,3.0,3.0,32.0,0.0
329,3.0,3.0,33.0,0.0
330,3.0,3.0,34.0,0.0
331,3.0,3.0,35.0,0.0
332,3.0,3.0,36.0,1.0
333,4.0,1.0,0.0,1.0
334,4.0,1.0,1.0,1.0
335,4.0,1.0,2.0,0.0
336,4.0,1.0,3.0,0.0
337,4.0,1.0,4.0,1.0
338,4.0,1.0,5.0,1.0
339,4.0,1.0,6.0,1.0
340,4.0,1.0,7.0,1.0
341,4.0,1.0,8.0,0.0
342,4.0,1.0,9.0,0.0
343,4.0,1.0,10.0,1.0
344,4.0,1.0,11.0,1.0
345,4.0,1.0,12.0,1.0
346,4.0,1.0,13.0,0.0
347,4.0,1.0,14.0,0.0
348,4.0,1.0,15.0,0.0
349,4.0,1.0,16.0,1.0
350,4.0,1.0,17.0,1.0
351,4.0,1.0,18.0,0.0
352,4.0,1.0,19.0,0.0
353,4.0,1.0,20.0,1.0
354,4.0,1.0,21.0,1.0
355,4.0,1.0,22.0,0.0
356,4.0,1.0,23.0,0.0
357,4.0,1.0,24.0,1.0
358,4.0,1.0,25.0,1.0
359,4.0,1.0,26.0,0.0
360,4.0,1.0,27.0,1.0
361,4.0,1.0,28.0,0.0
362,4.0,1.0,29.0,1.0
363,4.0,1.0,30.0,0.0
364,4.0,1.0,31.0,0.0
365,4.0,1.0,32.0,1.0
366,4.0,1.0,33.0,1.0
367,4.0,1.0,34.0,0.0
368,4.0,1.0,35.0,0.0
369,4.0,1.0,36.0,1.0
370,4.0,2.0,0.0,0.0
371,4.0,2.0,1.0,0.0
372,4.0,2.0,2.0,0.0
373,4.0,2.0,3.0,0.0
374,4.0,2.0,4.0,1.0
375,4.0,2.0,5.0,0.0
376,4.0,2.0,6.0,0.0
377,4.0,2.0,7.0,0.0
378,4.0,2.0,8.0,1.0
379,4.0,2.0,9.0,0.0
380,4.0,2.0,10.0,1.0
381,4.0,2.0,11.0,1.0
382,4.0,2.0,12.0,0.0
383,4.0,2.0,13.0,1.0
384,4.0,2.0,14.0,1.0
385,4.0,2.0,15.0,0.0
386,4.0,2.0,16.0,0.0
387,4.0,2.0,17.0,1.0
388,4.0,2.0,18.0,1.0
389,4.0,2.0,19.0,0.0
390,4.0,2.0,20.0,1.0
391,4.0,2.0,21.0,0.0
392,4.0,2.0,22.0,1.0
393,4.0,2.0,23.0,1.0
394,4.0,2.0,24.0,1.0
395,4.0,2.0,25.0,0.0
396,4.0,2.0,26.0,0.0
397,4.0,2.0,27.0,1.0
398,4.0,2.0,28.0,1.0
399,4.0,2.0,29.0,0.0
400,4.0,2.0,30.0,1.0
401,4.0,2.0,31.0,0.0
402,4.0,2.0,32.0,1.0
403,4.0,2.0,33.0,0.0
404,4.0,2.0,34.0,0.0
405,4.0,2.0,35.0,1.0
406,4.0,2.0,36.0,0.0
407,4.0,3.0,0.0,0.0
408,4.0,3.0,1.0,0.0
409,4.0,3.0,2.0,0.0
410,4.0,3.0,3.0,1.0
411,4.0,3.0,4.0,1.0
412,4.0,3.0,5.0,1.0
413,4.0,3.0,6.0,0.0
414,4.0,3.0,7.0,1.0
415,4.0,3.0,8.0,0.0
416,4.0,3.0,9.0,0.0
417,4.0,3.0,10.0,0.0
418,4.0,3.0,11.0,1.0
419,4.0,3.0,12.0,0.0
420,4.0,3.0,13.0,1.0
421,4.0,3.0,14.0,1.0
422,4.0,3.0,15.0,0.0
423,4.0,3.0,16.0,0.0
424,4.0,3.0,17.0,0.0
425,4.0,3.0,18.0,0.0
426,4.0,3.0,19.0,1.0
427,4.0,3.0,20.0,1.0
428,4.0,3.0,21.0,0.0
429,4.0,3.0,22.0,0.0
430,4.0,3.0,23.0,1.0
431,4.0,3.0,24.0,1.0
432,4.0,3.0,25.0,1.0
433,4.0,3.0,26.0,1.0
434,4.0,3.0,27.0,1.0
435,4.0,3.0,28.0,0.0
436,4.0,3.0,29.0,0.0
437,4.0,3.0,30.0,0.0
438,4.0,3.0,31.0,1.0
439,4.0,3.0,32.0,1.0
440,4.0,3.0,33.0,1.0
441,4.0,3.0,34.0,0.0
442,4.0,3.0,35.0,0.0
443,4.0,3.0,36.0,0.0
444,5.0,1.0,0.0,1.0
445,5.0,1.0,1.0,1.0
446,5.0,1.0,2.0,0.0
447,5.0,1.0,3.0,0.0
448,5.0,1.0,4.0,1.0
449,5.0,1.0,5.0,1.0
450,5.0,1.0,6.0,1.0
451,5.0,1.0,7.0,0.0
452,5.0,1.0,8.0,1.0
453,5.0,1.0,9.0,0.0
454,5.0,1.0,10.0,1.0
455,5.0,1.0,11.0,0.0
456,5.0,1.0,12.0,0.0
457,5.0,1.0,13.0,0.0
458,5.0,1.0,14.0,1.0
459,5.0,1.0,15.0,1.0
460,5.0,1.0,16.0,0.0
461,5.0,1.0,17.0,1.0
462,5.0,1.0,18.0,1.0
463,5.0,1.0,19.0,0.0
464,5.0,1.0,20.0,1.0
465,5.0,1.0,21.0,1.0
466,5.0,1.0,22.0,1.0
467,5.0,1.0,23.0,1.0
468,5.0,1.0,24.0,0.0
469,5.0,1.0,25.0,0.0
470,5.0,1.0,26.0,1.0
471,5.0,1.0,27.0,1.0
472,5.0,1.0,28.0,1.0
473,5.0,1.0,29.0,0.0
474,5.0,1.0,30.0,1.0
475,5.0,1.0,31.0,1.0
476,5.0,1.0,32.0,0.0
477,5.0,1.0,33.0,1.0
478,5.0,1.0,34.0,0.0
479,5.0,1.0,35.0,0.0
480,5.0,1.0,36.0,1.0
481,5.0,2.0,0.0,0.0
482,5.0,2.0,1.0,1.0
483,5.0,2.0,2.0,0.0
484,5.0,2.0,3.0,1.0
485,5.0,2.0,4.0,1.0
486,5.0,2.0,5.0,1.0
487,5.0,2.0,6.0,0.0
